Prov,Year,Yes,total,proportion,Percentage
AB,2009,3326,10270,0.323855891,32
AB,2010,3326,10270,0.323855891,32
AB,2011,3326,10270,0.323855891,32
AB,2012,3326,10270,0.323855891,32
AB,2013,3575,10270,0.348101266,35
AB,2014,3575,10270,0.348101266,35
AB,2015,3575,10270,0.348101266,35
AB,2016,3575,10270,0.348101266,35
AB,2017,3575,10270,0.348101266,35
AB,2018,3575,10270,0.348101266,35
AB,2019,3575,10270,0.348101266,35
AB,2020,3575,10270,0.348101266,35
AB,2021,3575,10270,0.348101266,35
AB,2022,3575,10270,0.348101266,35
BC,2009,3335,10993,0.303374875,30
BC,2010,3735,10993,0.339761667,34
BC,2011,3735,10993,0.339761667,34
BC,2012,3735,10993,0.339761667,34
BC,2013,3944,10993,0.358773765,36
BC,2014,4258,10993,0.387337397,39
BC,2015,4258,10993,0.387337397,39
BC,2016,4258,10993,0.387337397,39
BC,2017,4258,10993,0.387337397,39
BC,2018,4258,10993,0.387337397,39
BC,2019,4492,10993,0.40862367,41
BC,2020,4492,10993,0.40862367,41
BC,2021,4632,10993,0.421359047,42
BC,2022,4632,10993,0.421359047,42
MB,2009,904,4234,0.213509684,21
MB,2010,904,4234,0.213509684,21
MB,2011,904,4234,0.213509684,21
MB,2012,904,4234,0.213509684,21
MB,2013,904,4234,0.213509684,21
MB,2014,904,4234,0.213509684,21
MB,2015,904,4234,0.213509684,21
MB,2016,904,4234,0.213509684,21
MB,2017,904,4234,0.213509684,21
MB,2018,904,4234,0.213509684,21
MB,2019,904,4234,0.213509684,21
MB,2020,904,4234,0.213509684,21
MB,2021,904,4234,0.213509684,21
MB,2022,904,4234,0.213509684,21
NB,2009,382,2504,0.152555911,15
NB,2010,382,2504,0.152555911,15
NB,2011,382,2504,0.152555911,15
NB,2012,382,2504,0.152555911,15
NB,2013,382,2504,0.152555911,15
NB,2014,382,2504,0.152555911,15
NB,2015,382,2504,0.152555911,15
NB,2016,382,2504,0.152555911,15
NB,2017,382,2504,0.152555911,15
NB,2018,382,2504,0.152555911,15
NB,2019,382,2504,0.152555911,15
NB,2020,382,2504,0.152555911,15
NB,2021,382,2504,0.152555911,15
NB,2022,382,2504,0.152555911,15
NL,2009,619,2169,0.28538497,29
NL,2010,619,2169,0.28538497,29
NL,2011,619,2169,0.28538497,29
NL,2012,619,2169,0.28538497,29
NL,2013,836,2169,0.385431074,39
NL,2014,1028,2169,0.47395113,47
NL,2015,1028,2169,0.47395113,47
NL,2016,1028,2169,0.47395113,47
NL,2017,1028,2169,0.47395113,47
NL,2018,1028,2169,0.47395113,47
NL,2019,1028,2169,0.47395113,47
NL,2020,1534,2169,0.707238359,71
NL,2021,1534,2169,0.707238359,71
NL,2022,1534,2169,0.707238359,71
NS,2009,4974,6740,0.737982196,74
NS,2010,4974,6740,0.737982196,74
NS,2011,4974,6740,0.737982196,74
NS,2012,4974,6740,0.737982196,74
NS,2013,4974,6740,0.737982196,74
NS,2014,4974,6740,0.737982196,74
NS,2015,4974,6740,0.737982196,74
NS,2016,4974,6740,0.737982196,74
NS,2017,4974,6740,0.737982196,74
NS,2018,4974,6740,0.737982196,74
NS,2019,4974,6740,0.737982196,74
NS,2020,4974,6740,0.737982196,74
NS,2021,4974,6740,0.737982196,74
NS,2022,4974,6740,0.737982196,74
NU,2009,NA,NA,NA,NA
NU,2010,NA,NA,NA,NA
NU,2011,NA,NA,NA,NA
NU,2012,NA,NA,NA,NA
NU,2013,NA,NA,NA,NA
NU,2014,NA,NA,NA,NA
NU,2015,NA,NA,NA,NA
NU,2016,NA,NA,NA,NA
NU,2017,NA,NA,NA,NA
NU,2018,NA,NA,NA,NA
NU,2019,35,35,1,100
NU,2020,35,35,1,100
NU,2021,35,35,1,100
NU,2022,35,35,1,100
NT,2009,NA,NA,NA,NA
NT,2010,NA,NA,NA,NA
NT,2011,NA,NA,NA,NA
NT,2012,NA,NA,NA,NA
NT,2013,NA,NA,NA,NA
NT,2014,NA,NA,NA,NA
NT,2015,NA,NA,NA,NA
NT,2016,NA,NA,NA,NA
NT,2017,NA,NA,NA,NA
NT,2018,NA,NA,NA,NA
NT,2019,NA,NA,NA,NA
NT,2020,NA,NA,NA,NA
NT,2021,NA,NA,NA,NA
NT,2022,NA,NA,NA,NA
ON,2009,7421,27487,0.269982173,27
ON,2010,7823,27487,0.284607269,28
ON,2011,8269,27487,0.300833121,30
ON,2012,8269,27487,0.300833121,30
ON,2013,8269,27487,0.300833121,30
ON,2014,8269,27487,0.300833121,30
ON,2015,8269,27487,0.300833121,30
ON,2016,8269,27487,0.300833121,30
ON,2017,8733,27487,0.317713828,32
ON,2018,8733,27487,0.317713828,32
ON,2019,9243,27487,0.336268054,34
ON,2020,9243,27487,0.336268054,34
ON,2021,9243,27487,0.336268054,34
ON,2022,9177,27487,0.336121585,34
PE,2009,NA,NA,NA,NA
PE,2010,NA,NA,NA,NA
PE,2011,233,418,0.557416268,56
PE,2012,233,418,0.557416268,56
PE,2013,233,418,0.557416268,56
PE,2014,233,418,0.557416268,56
PE,2015,233,418,0.557416268,56
PE,2016,333,418,0.796650718,80
PE,2017,333,418,0.796650718,80
PE,2018,333,418,0.796650718,80
PE,2019,333,418,0.796650718,80
PE,2020,333,418,0.796650718,80
PE,2021,333,418,0.796650718,80
PE,2022,333,418,0.796650718,80
QC,2009,1952,18511,0.105450813,11
QC,2010,1952,18511,0.105450813,11
QC,2011,1952,18511,0.105450813,11
QC,2012,1952,18511,0.105450813,11
QC,2013,1952,18511,0.105450813,11
QC,2014,2303,18511,0.124412511,12
QC,2015,2303,18511,0.124412511,12
QC,2016,2303,18511,0.124412511,12
QC,2017,2303,18511,0.124412511,12
QC,2018,2303,18511,0.124412511,12
QC,2019,3558,18511,0.192210037,19
QC,2020,3558,18511,0.192210037,19
QC,2021,3558,18511,0.192210037,19
QC,2022,3558,18511,0.192210037,19
SK,2009,666,2930,0.227303754,23
SK,2010,666,2930,0.227303754,23
SK,2011,666,2930,0.227303754,23
SK,2012,666,2930,0.227303754,23
SK,2013,666,2930,0.227303754,23
SK,2014,1370,2930,0.467576792,47
SK,2015,1370,2930,0.467576792,47
SK,2016,1370,2930,0.467576792,47
SK,2017,1370,2930,0.467576792,47
SK,2018,1370,2930,0.467576792,47
SK,2019,1442,2930,0.492150171,49
SK,2020,1442,2930,0.492150171,49
SK,2021,1442,2930,0.492150171,49
SK,2022,1442,2930,0.492150171,49
YT,2009,NA,NA,NA,NA
YT,2010,NA,NA,NA,NA
YT,2011,NA,NA,NA,NA
YT,2012,NA,NA,NA,NA
YT,2013,NA,NA,NA,NA
YT,2014,NA,NA,NA,NA
YT,2015,NA,NA,NA,NA
YT,2016,NA,NA,NA,NA
YT,2017,NA,NA,NA,NA
YT,2018,NA,NA,NA,NA
YT,2019,NA,NA,NA,NA
YT,2020,NA,NA,NA,NA
YT,2021,NA,NA,NA,NA
YT,2022,NA,NA,NA,NA
